Mode,Algorithm,Origin,Dest,Cost (Mins),Nodes Expanded,Time (ms),Path
FUTURE,BFS,Changi Airport,City Hall,28,10,0.01049999991664663,Changi Airport -> Expo -> Tanah Merah -> Paya Lebar -> City Hall
FUTURE,DFS,Changi Airport,City Hall,50,9,0.005999998393235728,Changi Airport -> Changi Terminal 5 -> Pasir Ris -> Tanah Merah -> Paya Lebar -> Marina Bay -> City Hall
FUTURE,GBFS,Changi Airport,City Hall,28,5,0.012999998943996616,Changi Airport -> Expo -> Tanah Merah -> Paya Lebar -> City Hall
FUTURE,A*,Changi Airport,City Hall,28,5,0.009700001101009548,Changi Airport -> Expo -> Tanah Merah -> Paya Lebar -> City Hall
FUTURE,BFS,Changi Airport,Orchard,42,13,0.007300001016119495,Changi Airport -> Changi Terminal 5 -> Sungei Bedok -> Gardens by the Bay -> Orchard
FUTURE,DFS,Changi Airport,Orchard,57,10,0.005900001269765198,Changi Airport -> Changi Terminal 5 -> Pasir Ris -> Tanah Merah -> Paya Lebar -> Marina Bay -> City Hall -> Orchard
FUTURE,GBFS,Changi Airport,Orchard,35,6,0.010300000212737359,Changi Airport -> Expo -> Tanah Merah -> Paya Lebar -> City Hall -> Orchard
FUTURE,A*,Changi Airport,Orchard,35,6,0.013299999409355223,Changi Airport -> Expo -> Tanah Merah -> Paya Lebar -> City Hall -> Orchard
FUTURE,BFS,Changi Airport,Gardens by the Bay,25,9,0.005199999577598646,Changi Airport -> Changi Terminal 5 -> Sungei Bedok -> Gardens by the Bay
FUTURE,DFS,Changi Airport,Gardens by the Bay,74,11,0.005700001565855928,Changi Airport -> Changi Terminal 5 -> Pasir Ris -> Tanah Merah -> Paya Lebar -> Marina Bay -> City Hall -> Orchard -> Gardens by the Bay
FUTURE,GBFS,Changi Airport,Gardens by the Bay,52,8,0.011699999959091656,Changi Airport -> Expo -> Tanah Merah -> Paya Lebar -> City Hall -> Orchard -> Gardens by the Bay
FUTURE,A*,Changi Airport,Gardens by the Bay,25,11,0.014199998986441642,Changi Airport -> Changi Terminal 5 -> Sungei Bedok -> Gardens by the Bay
FUTURE,BFS,Paya Lebar,Changi Terminal 5,28,14,0.0072999991971300915,Paya Lebar -> Tanah Merah -> Pasir Ris -> Changi Terminal 5
FUTURE,DFS,Paya Lebar,Changi Terminal 5,63,7,0.004400000761961564,Paya Lebar -> Marina Bay -> City Hall -> Orchard -> Gardens by the Bay -> Sungei Bedok -> Changi Terminal 5
FUTURE,GBFS,Paya Lebar,Changi Terminal 5,22,5,0.008200000593205914,Paya Lebar -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
FUTURE,A*,Paya Lebar,Changi Terminal 5,22,5,0.008200000593205914,Paya Lebar -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
FUTURE,BFS,HarbourFront,Changi Terminal 5,68,15,0.007799999366397969,HarbourFront -> Buona Vista -> City Hall -> Paya Lebar -> Tanah Merah -> Pasir Ris -> Changi Terminal 5
FUTURE,DFS,HarbourFront,Changi Terminal 5,100,10,0.006300000677583739,HarbourFront -> Buona Vista -> Bishan -> Paya Lebar -> Marina Bay -> City Hall -> Orchard -> Gardens by the Bay -> Sungei Bedok -> Changi Terminal 5
FUTURE,GBFS,HarbourFront,Changi Terminal 5,62,8,0.011300000551273115,HarbourFront -> Buona Vista -> City Hall -> Paya Lebar -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
FUTURE,A*,HarbourFront,Changi Terminal 5,59,8,0.011699999959091656,HarbourFront -> Buona Vista -> Bishan -> Paya Lebar -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
FUTURE,BFS,Bishan,Changi Terminal 5,48,15,0.0072999991971300915,Bishan -> Orchard -> Gardens by the Bay -> Sungei Bedok -> Changi Terminal 5
FUTURE,DFS,Bishan,Changi Terminal 5,73,8,0.004800000169780105,Bishan -> Paya Lebar -> Marina Bay -> City Hall -> Orchard -> Gardens by the Bay -> Sungei Bedok -> Changi Terminal 5
FUTURE,GBFS,Bishan,Changi Terminal 5,32,6,0.009700001101009548,Bishan -> Paya Lebar -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
FUTURE,A*,Bishan,Changi Terminal 5,32,6,0.009800000043469481,Bishan -> Paya Lebar -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
