Mode,Algorithm,Origin,Dest,Cost,Nodes,Time (ms)
TODAY,BFS,Changi Airport,City Hall,28,7,0.02440001117065549
TODAY,DFS,Changi Airport,City Hall,36,8,0.010299962013959885
TODAY,GBFS,Changi Airport,City Hall,28,5,0.019400031305849552
TODAY,A*,Changi Airport,City Hall,28,5,0.012700038496404886
TODAY,BFS,Changi Airport,Orchard,35,11,0.006400048732757568
TODAY,DFS,Changi Airport,Orchard,43,9,0.005500041879713535
TODAY,GBFS,Changi Airport,Orchard,35,6,0.009299954399466515
TODAY,A*,Changi Airport,Orchard,35,6,0.009200011845678091
FUTURE,BFS,Changi Airport,City Hall,28,10,0.007399998139590025
FUTURE,DFS,Changi Airport,City Hall,50,9,0.004699977580457926
FUTURE,GBFS,Changi Airport,City Hall,28,5,0.010200019460171461
FUTURE,A*,Changi Airport,City Hall,28,5,0.006999995093792677
FUTURE,BFS,Changi Airport,Orchard,42,13,0.005199981387704611
FUTURE,DFS,Changi Airport,Orchard,57,10,0.003999972250312567
FUTURE,GBFS,Changi Airport,Orchard,35,6,0.006999995093792677
FUTURE,A*,Changi Airport,Orchard,35,6,0.007399998139590025
FUTURE,BFS,Paya Lebar,Changi Terminal 5,28,14,0.004900037311017513
FUTURE,DFS,Paya Lebar,Changi Terminal 5,63,7,0.003100023604929447
FUTURE,GBFS,Paya Lebar,Changi Terminal 5,22,5,0.005999987479299307
FUTURE,A*,Paya Lebar,Changi Terminal 5,22,5,0.005999987479299307
FUTURE,BFS,Bishan,Changi Terminal 5,48,15,0.004900037311017513
FUTURE,DFS,Bishan,Changi Terminal 5,73,8,0.003400025889277458
FUTURE,GBFS,Bishan,Changi Terminal 5,32,6,0.006999995093792677
FUTURE,A*,Bishan,Changi Terminal 5,32,6,0.008600007276982069
